"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Общероссийские классификаторы","Получение ОКВЕД2","","0","0","31","0","0"
"Классификаторы","Единицы измерения","","0","0","31","0","0"
"Классификаторы","Единый Классификатор","","0","0","31","0","0"
"","","","22","2","16","0","0"
"Классификаторы","Единый ограничительный перечень","","0","0","31","0","0"
"Общероссийские классификаторы","Получение ОКПД2","","0","0","30","0","0"
"Номенклатура","Поиск номенклатуры","","0","0","37","0","0"
"Номенклатура","Получение номенклатуры по Гуид","","0","0","13","0","0"
"","Вспомогательные","","6","0","15","0","0"
"Заявка","Работа с заявками","","2","0","10","0","0"
"Общероссийские классификаторы","Получение ТНВЕД","","0","0","31","0","0"
"Номенклатура","Получение базовой услуги по Гуид","","0","0","11","0","0"
